Article name,Topic cluster,Spec URL,Standards,Priority,Week,Complete?,Writer
text-overflow,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P0,A,,
text-rendering,text properties,,CR,P0,A,,
background,background properties,http://www.w3.org/TR/css3-background/,CSS2.1,P0,D,Reserved,
background-color,background properties,http://www.w3.org/TR/css3-background/,CSS2.1,P0,D,Reserved,
background-image,background properties,http://www.w3.org/TR/css3-background/,CSS2.1,P0,D,Reserved,
background-position,background properties,http://www.w3.org/TR/css3-background/,CSS2.1,P0,D,Reserved,
background-size,background properties,http://www.w3.org/TR/css3-background/,CR,P0,D,Reserved,
border-radius,border properties,http://www.w3.org/TR/css3-background/,CR,P0,D,Reserved,
overflow,overflow properties,,CSS2,P0,D,Reserved,
transform,transform properties,http://www.w3.org/TR/css3-transforms/,WD,P0,D,Reserved,
line-height,text-line properties,http://dev.w3.org/csswg/css3-linebox/,CSS2.1,P0,E,,
box-sizing,,http://dev.w3.org/csswg/css3-ui/,WD,P0,E,,
position,,http://www.w3.org/TR/CSS21/visuren.html#propdef-position,CSS2.1,P0,E,Ready,
color,color properties,http://www.w3.org/TR/css3-color/,CSS2,P0,G,,
box-shadow,,http://www.w3.org/TR/css3-background/,CR,P0,G,,
cursor,,http://dev.w3.org/csswg/css3-ui/,CSS2.1,P0,G,,
pointer-events,,,Discussion,P0,G,Reserved,
grid-area,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
grid-auto-columns,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
grid-auto-flow,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
grid-auto-rows,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
grid-column,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
grid-column-position,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
grid-column-span,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
grid-definition-columns,grid layout properties,http://www.w3.org/TR/css3-grid-layout/,WD,P1,C,,
